filename,text_length,wer,cer,text_fail,text_fail_percentage,original_entity_count,entity_fail_count,entity_fail_percentage,missing_person_count,extra_person_count,total_review_person_count,word_error_count,micro_averaged_word_error_count,mean_wer,mean_cer,mean_text_fail,total_files,total_text_fail,total_text_length,total_text_fail_percentage,total_entity_fail_count,total_original_entity_count,total_entity_fail_percentage,mean_original_entity_count,mean_missing_person_count,mean_extra_person_count,mean_total_review_person_count,total_review_persons,total_missing_persons
Heckman_2_annotated.csv,1557,0.0019267822736030828,0.0032872209286399123,0,0.0,45,3,0.06666666666666667,0,0,4,3.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Heckman_1_annotated.csv,3868,0.0015511892450879006,0.0021358393848782574,1,0.02585315408479835,178,12,0.06741573033707865,0,0,17,6.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Anderson_1_annotated.csv,3517,0.0028433323855558716,0.0017521599903329104,4,0.11373329542223486,196,29,0.14795918367346939,0,0,12,10.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Anderson_2_annotated.csv,1212,0.0024752475247524753,0.002343186733958183,1,0.08250825082508251,7,0,0.0,0,0,1,3.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Frederick_1_annotated.csv,4655,0.0025778732545649837,0.0021343263248717135,5,0.10741138560687433,215,79,0.3674418604651163,7,0,18,12.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Frederick_2_annotated.csv,4164,0.0036023054755043226,0.004400041412154467,2,0.04803073967339097,138,55,0.39855072463768115,3,2,11,15.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Hoover_3_annotated.csv,2760,0.006884057971014493,0.0068819895206068665,6,0.21739130434782608,152,15,0.09868421052631579,0,0,16,19.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Hoover_2_annotated.csv,3455,0.005499276410998553,0.007602667165202219,2,0.05788712011577424,137,22,0.16058394160583941,3,2,13,19.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Hoover_1_annotated.csv,3241,0.0037025609379821045,0.004651162790697674,5,0.154273372415921,183,35,0.1912568306010929,0,2,14,12.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Smith_1_annotated.csv,4257,0.003993422598073761,0.0013880246972670272,15,0.3523608174770966,200,33,0.165,0,0,17,17.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
